,Iteration,Day,Iteration total cost,Cash flow
648,0,648,-1333424,-4824
649,0,649,-1338248,-4824
650,0,650,-1343072,-4824
651,0,651,-1347896,-4824
652,0,652,-1352720,-4824
653,0,653,-1357544,-4824
654,0,654,-1362368,-4824
655,0,655,-1367192,-4824
656,0,656,-1372016,-4824
657,0,657,-1376840,-4824
658,0,658,-1381664,-4824
659,0,659,-1386488,-4824
660,0,660,-1391312,-4824
661,0,661,-1396136,-4824
662,0,662,-1400960,-4824
663,0,663,-1405784,-4824
664,0,664,-1410608,-4824
665,0,665,-1415432,-4824
666,0,666,-1420256,-4824
667,0,667,-1425080,-4824
668,0,668,-1429904,-4824
669,0,669,-1434728,-4824
670,0,670,-1439552,-4824
671,0,671,-1444376,-4824
672,0,672,-1449200,-4824
673,0,673,-1454024,-4824
674,0,674,-1458848,-4824
675,0,675,-1463672,-4824
676,0,676,-1468496,-4824
677,0,677,-1473320,-4824
678,0,678,-1478144,-4824
679,0,679,-1482968,-4824
680,0,680,-1487792,-4824
681,0,681,-1492616,-4824
682,0,682,-1497440,-4824
683,0,683,-1502264,-4824
684,0,684,-1507088,-4824
685,0,685,-1511912,-4824
686,0,686,-1516736,-4824
687,0,687,-1521560,-4824
688,0,688,-1526384,-4824
689,0,689,-1531208,-4824
690,0,690,-1536032,-4824
691,0,691,-1540856,-4824
692,0,692,-1545680,-4824
693,0,693,-1550504,-4824
694,0,694,-1555328,-4824
695,0,695,-1560152,-4824
696,0,696,-1564976,-4824
697,0,697,-1569800,-4824
698,0,698,-1574624,-4824
699,0,699,-1579448,-4824
700,0,700,-1584272,-4824
701,0,701,-1589096,-4824
702,0,702,-1593920,-4824
703,0,703,-1598744,-4824
704,0,704,-1603568,-4824
705,0,705,-1608392,-4824
706,0,706,-1613216,-4824
707,0,707,-1618040,-4824
708,0,708,-1622864,-4824
709,0,709,-1627688,-4824
710,0,710,-1632512,-4824
711,0,711,-1637336,-4824
712,0,712,-1642160,-4824
713,0,713,-1646984,-4824
714,0,714,-1651808,-4824
715,0,715,-1656632,-4824
716,0,716,-1661456,-4824
717,0,717,-1666280,-4824
718,0,718,-1671104,-4824
719,0,719,-1675928,-4824
720,0,720,-1680752,-4824
721,0,721,-1685576,-4824
722,0,722,-1690400,-4824
723,0,723,-1695224,-4824
724,0,724,-1700048,-4824
725,0,725,-1704872,-4824
726,0,726,-1709696,-4824
727,0,727,-1714520,-4824
728,0,728,-1719344,-4824
729,0,729,-1724168,-4824
730,0,730,-1728992,-4824
731,0,731,-1733816,-4824
732,0,732,-1738640,-4824
733,0,733,-1743464,-4824
734,0,734,-1748288,-4824
735,0,735,-1753112,-4824
736,0,736,-1757936,-4824
737,0,737,-1762760,-4824
738,0,738,-1767584,-4824
739,0,739,-1772408,-4824
740,0,740,-1777232,-4824
741,0,741,-1782056,-4824
742,0,742,-1786880,-4824
743,0,743,-1791704,-4824
744,0,744,-1796528,-4824
745,0,745,-1801352,-4824
746,0,746,-1806176,-4824
747,0,747,-1811000,-4824
748,0,748,-1815824,-4824
749,0,749,-1820648,-4824
750,0,750,-1825472,-4824
751,0,751,-1830296,-4824
752,0,752,-1835120,-4824
753,0,753,-1839944,-4824
754,0,754,-1844768,-4824
755,0,755,-1849592,-4824
756,0,756,-1854416,-4824
757,0,757,-1859240,-4824
758,0,758,-1864064,-4824
759,0,759,-1868888,-4824
760,0,760,-1873712,-4824
761,0,761,-1878536,-4824
762,0,762,-1883360,-4824
763,0,763,-1888184,-4824
764,0,764,-1893008,-4824
765,0,765,-1897832,-4824
766,0,766,-1902656,-4824
767,0,767,-1907480,-4824
768,0,768,-1912304,-4824
769,0,769,-1917128,-4824
770,0,770,-1921952,-4824
771,0,771,-1926776,-4824
772,0,772,-1931600,-4824
773,0,773,-1936424,-4824
774,0,774,-1941248,-4824
775,0,775,-1946072,-4824
776,0,776,-1950896,-4824
777,0,777,-1955720,-4824
778,0,778,-1960544,-4824
779,0,779,-1965368,-4824
780,0,780,-1970192,-4824
781,0,781,-1975016,-4824
782,0,782,-1979840,-4824
783,0,783,-1984664,-4824
784,0,784,-1989488,-4824
785,0,785,-1994312,-4824
786,0,786,-1999136,-4824
787,0,787,-2003960,-4824
788,0,788,-2008784,-4824
789,0,789,-2013608,-4824
790,0,790,-2018432,-4824
791,0,791,-2023256,-4824
792,0,792,-2028080,-4824
793,0,793,-2032904,-4824
794,0,794,-2037728,-4824
795,0,795,-2042552,-4824
796,0,796,-2047376,-4824
797,0,797,-2052200,-4824
798,0,798,-2057024,-4824
799,0,799,-2061848,-4824
800,0,800,-2066672,-4824
801,0,801,-2071496,-4824
802,0,802,-2076320,-4824
803,0,803,-2081144,-4824
804,0,804,-2085968,-4824
805,0,805,-2090792,-4824
806,0,806,-2095616,-4824
807,0,807,-2100440,-4824
808,0,808,-2105264,-4824
809,0,809,-2110088,-4824
810,0,810,-2114912,-4824
811,0,811,-2119736,-4824
812,0,812,-2124560,-4824
813,0,813,-2129384,-4824
814,0,814,-2134208,-4824
815,0,815,-2139032,-4824
816,0,816,-2143856,-4824
817,0,817,-2148680,-4824
818,0,818,-2153504,-4824
819,0,819,-2158328,-4824
820,0,820,-2163152,-4824
821,0,821,-2167976,-4824
822,0,822,-2172800,-4824
823,0,823,-2177624,-4824
824,0,824,-2182448,-4824
825,0,825,-2187272,-4824
826,0,826,-2192096,-4824
827,0,827,-2196920,-4824
828,0,828,-2201744,-4824
829,0,829,-2206568,-4824
830,0,830,-2211392,-4824
831,0,831,-2216216,-4824
832,0,832,-2221040,-4824
833,0,833,-2225864,-4824
834,0,834,-2230688,-4824
835,0,835,-2235512,-4824
836,0,836,-2240336,-4824
837,0,837,-2245160,-4824
838,0,838,-2249984,-4824
839,0,839,-2254808,-4824
840,0,840,-2259632,-4824
841,0,841,-2264456,-4824
842,0,842,-2269280,-4824
843,0,843,-2274104,-4824
844,0,844,-2278928,-4824
845,0,845,-2283752,-4824
846,0,846,-2288576,-4824
847,0,847,-2293400,-4824
848,0,848,-2298224,-4824
849,0,849,-2303048,-4824
850,0,850,-2307872,-4824
851,0,851,-2312696,-4824
852,0,852,-2317520,-4824
853,0,853,-2322344,-4824
854,0,854,-2327168,-4824
855,0,855,-2331992,-4824
856,0,856,-2336816,-4824
857,0,857,-2341640,-4824
858,0,858,-2346464,-4824
859,0,859,-2351288,-4824
860,0,860,-2356112,-4824
861,0,861,-2360936,-4824
862,0,862,-2365760,-4824
863,0,863,-2370584,-4824
864,0,864,-2375408,-4824
865,0,865,-2380232,-4824
866,0,866,-2385056,-4824
867,0,867,-2389880,-4824
868,0,868,-2394704,-4824
869,0,869,-2399528,-4824
870,0,870,-2404352,-4824
871,0,871,-2409176,-4824
872,0,872,-2414000,-4824
873,0,873,-2418824,-4824
874,0,874,-2423648,-4824
875,0,875,-2428472,-4824
876,0,876,-2433296,-4824
877,0,877,-2438120,-4824
878,0,878,-2442944,-4824
879,0,879,-2447768,-4824
880,0,880,-2452592,-4824
881,0,881,-2457416,-4824
882,0,882,-2462240,-4824
883,0,883,-2467064,-4824
884,0,884,-2471888,-4824
885,0,885,-2476712,-4824
886,0,886,-2481536,-4824
887,0,887,-2486360,-4824
888,0,888,-2491184,-4824
889,0,889,-2496008,-4824
890,0,890,-2500832,-4824
891,0,891,-2505656,-4824
892,0,892,-2510480,-4824
893,0,893,-2515304,-4824
894,0,894,-2520128,-4824
895,0,895,-2524952,-4824
896,0,896,-2529776,-4824
897,0,897,-2534600,-4824
898,0,898,-2539424,-4824
899,0,899,-2544248,-4824
900,0,900,-2549072,-4824
901,0,901,-2553896,-4824
902,0,902,-2558720,-4824
903,0,903,-2563544,-4824
904,0,904,-2568368,-4824
905,0,905,-2573192,-4824
